step,block_size,lr,train_loss,train_ema,gn
512,128,1.996448e-03,1.6761,1.7501,0.273
513,128,1.996415e-03,1.6976,1.7475,0.273
514,128,1.996381e-03,1.6913,1.7446,0.280
515,128,1.996347e-03,1.7792,1.7464,0.568
516,128,1.996313e-03,1.6715,1.7426,0.263
517,128,1.996279e-03,1.6853,1.7398,0.213
518,128,1.996245e-03,1.6980,1.7377,0.221
519,128,1.996210e-03,1.6944,1.7355,0.206
520,128,1.996176e-03,1.6790,1.7327,0.234
521,128,1.996141e-03,1.6714,1.7296,0.203
522,128,1.996106e-03,1.6948,1.7279,0.195
523,128,1.996071e-03,1.7166,1.7273,0.131
524,128,1.996035e-03,1.7031,1.7261,0.174
525,128,1.996000e-03,1.7059,1.7251,0.471
526,128,1.995964e-03,1.6824,1.7230,0.214
527,128,1.995929e-03,1.7052,1.7221,0.163
528,128,1.995893e-03,1.6789,1.7199,0.142
529,128,1.995857e-03,1.6996,1.7189,0.136
530,128,1.995820e-03,1.6560,1.7157,0.186
531,128,1.995784e-03,1.6525,1.7126,0.216
